Name ,Price,Ratings
"Realme C2 (Diamond Blue, 16 GB)","₹5,999",4.4
"Realme C2 (Diamond Black, 16 GB)","₹5,999",4.4
"Realme 3i (Diamond Blue, 32 GB)","₹7,999",4.5
Niamia Cad 3,₹999,3.5
"Realme 3i (Diamond Black, 32 GB)","₹7,999",4.5
"Realme 3i (Diamond Red, 32 GB)","₹7,999",4.5
"Realme 3i (Diamond Blue, 64 GB)","₹9,999",4.4
"Realme 3i (Diamond Red, 64 GB)","₹9,999",4.4
"Realme 3i (Diamond Black, 64 GB)","₹9,999",4.4
"Redmi 6 (Black, 64 GB)","₹6,999",4.4
"Redmi 7A (Matte Blue, 32 GB)","₹6,199",4.5
"Redmi 7A (Matte Black, 32 GB)","₹6,199",4.5
"Redmi Note 7S (Sapphire Blue, 64 GB)","₹11,999",4.4
"Redmi Note 5 Pro (Rose Gold, 64 GB)","₹11,498",4.5
"Redmi Note 7S (Onyx Black, 64 GB)","₹11,999",4.4
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹14,999",4.5
"Samsung Galaxy J6 (Blue, 64 GB)","₹9,490",4.5
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹13,999",4.5
"Vivo Z1Pro (Sonic Blue, 64 GB)","₹14,990",4.5
"Redmi Note 5 Pro (Blue, 64 GB)","₹11,498",4.5
"Vivo Z1Pro (Sonic Black, 64 GB)","₹16,990",4.5
"Vivo Z1Pro (Sonic Black, 64 GB)","₹14,990",4.5
"Vivo Z1Pro (Sonic Blue, 64 GB)","₹16,990",4.5
Niamia CAD 3 Combo of Two Mobiles,"₹1,749",3.2
